Date,Symbol,Prev Close,Open,High,Prev Low,Prev high,Previous VWAP,Previous Volume,Previous Percentage,PreviousValue change,Previous Nifty 50,Previous Nifty 100,Previous Sensex,Buy Don?t buy
4/6/2011,RELIANCE,1050.65,1045,1059,1040,1047.65,1048.1,2458823,-0.29,-3,5923.85,5803.15,19731.38,NO
4/7/2011,RELIANCE,1047.65,1045.05,1054.25,1040,1044.85,1044.8,2076283,-0.27,-2.8,5908,5800,19698.61,NO
4/8/2011,RELIANCE,1044.85,1042,1047.55,1035.1,1041.9,1040.03,2323242,-0.28,-2.95,5888.55,5784.9,19620.88,NO
4/11/2011,RELIANCE,1041.9,1013,1050.9,1020.65,1023.9,1030.8,2742024,-1.76,-18,5886.75,5789.35,19602.81,NO
4/13/2011,RELIANCE,1023.9,1001.85,1019.45,1003.65,1005.3,1009.07,2582208,-1.85,-18.6,5805.35,5708.65,19382.91,NO
4/15/2011,RELIANCE,1005.3,1018.65,1024,996.6,1021.8,1013.38,4369725,1.61,16.5,5747.95,5652.75,19187.01,YES
4/18/2011,RELIANCE,1021.8,1019.2,1024.85,1005,1020.95,1015.12,3240001,-0.08,-0.85,5898.75,5791.9,19670.07,NO
4/19/2011,RELIANCE,1020.95,1004.7,1044.7,1000.6,1009.15,1025.46,3381601,-1.17,-11.8,5824.35,5729.2,19389.74,NO
4/20/2011,RELIANCE,1009.15,1016,1017.45,998.75,1011.65,1008.5,2748246,0.25,2.5,5716,5629.2,19091.78,YES
4/21/2011,RELIANCE,1011.65,1034.8,1030.5,1008.2,1025.9,1019.78,2357930,1.39,14.25,5786.05,5688.3,19274.21,YES
4/25/2011,RELIANCE,1025.9,1014,1044.2,1030,1040.6,1036.44,3413753,1.41,14.7,5882.85,5777.2,19582.5,NO
4/26/2011,RELIANCE,1040.6,1009,1021,1005.15,1009.35,1012.58,4146270,-3.1,-31.25,5859.6,5752.45,19538.52,NO
4/27/2011,RELIANCE,1009.35,1005,1009,997.55,1001.15,1001.96,4035044,-0.82,-8.2,5876.85,5769.8,19596.32,NO
4/28/2011,RELIANCE,1001.15,992,1009.1,980.1,986.1,990.45,5648346,-1.53,-15.05,5884.2,5774.8,19610.71,NO
4/29/2011,RELIANCE,986.1,975,993,970,972.4,977.14,8163236,-1.41,-13.7,5851.35,5751,19532.85,NO
5/2/2011,RELIANCE,972.4,983.9,988,971.3,983.75,980,3414200,1.15,11.35,5782.5,5688.1,19292.57,YES
5/3/2011,RELIANCE,983.75,965.1,986.8,961.3,964.75,970.04,3110913,-1.97,-19,5766.9,5663.6,19224.05,NO
5/4/2011,RELIANCE,964.75,945,967.4,941.05,943.9,953.2,5035348,-2.21,-20.85,5689.7,5588.35,18979.31,NO
5/5/2011,RELIANCE,943.9,945,956.75,940,947.65,949.26,2667162,0.4,3.75,5567.7,5468.4,18558.33,YES
5/6/2011,RELIANCE,947.65,953,963.55,943.65,949.95,954.48,4476339,0.24,2.3,5531.6,5431.7,18484.71,YES
5/6/2011,RELIANCE,949.95,953,960,949.1,955.05,954.27,2952486,0.53,5.1,5477.65,5377,18289.78,YES
5/9/2011,RELIANCE,949.95,960,960,949.1,955.05,954.27,2952486,0.53,5.1,5575.2,5474.95,18628.63,YES
5/10/2011,RELIANCE,955.05,959.3,966.05,951.4,959.3,958.97,1831616,0.44,4.25,5555.55,5464.2,18564.95,YES
5/11/2011,RELIANCE,959.3,954,963.9,946.55,950.75,957.62,1861439,-0.9,-8.55,5547.2,5456.3,18572.61,NO
5/12/2011,RELIANCE,950.75,951.5,958.4,943.5,955.45,951.27,1873699,0.49,4.7,5537.8,5453.95,18525.32,YES
5/13/2011,RELIANCE,955.45,945.25,954.75,941,945.5,947.64,2107305,-1.05,-9.95,5492.35,5412.45,18362.45,NO
5/16/2011,RELIANCE,945.5,950,962,937.95,948,951.29,3178684,0.26,2.5,5541.7,5462.9,18492.68,YES
5/17/2011,RELIANCE,948,945.65,951.4,941.55,945,946.47,1601945,-0.32,-3,5496.1,5422.2,18374.45,NO
5/18/2011,RELIANCE,945,920,946.8,917.25,920.65,926,3973699,-2.64,-24.35,5448.2,5380.05,18177.32,NO
5/19/2011,RELIANCE,920.65,908.4,923.85,898.35,901.85,904.39,5672247,-2.08,-18.8,5448.15,5370,18166.64,NO
5/20/2011,RELIANCE,901.85,918.45,922,904.75,915.5,914.56,4131089,1.49,13.65,5450.65,5368.3,18199.96,YES
5/23/2011,RELIANCE,915.5,919,925.8,910.3,923.2,920.17,3171245,0.83,7.7,5456.7,5378.1,18269.06,YES
5/24/2011,RELIANCE,923.2,906,922,903.3,909.4,911.46,3391416,-1.52,-13.8,5385.1,5310.1,18016.43,NO
5/25/2011,RELIANCE,909.4,914.1,920.9,906,915.75,916.13,2538967,0.69,6.35,5389.1,5320.9,17976.36,YES
5/26/2011,RELIANCE,915.75,912.6,914.1,901,906,908.12,2997245,-1.08,-9.75,5372.75,5307.15,17917.11,NO
5/27/2011,RELIANCE,906,934.1,936.85,911.1,933.85,928.05,6857905,2.98,27.85,5413.7,5344.05,18105.61,YES
5/30/2011,RELIANCE,933.85,948.95,952.9,934.1,945.45,946.83,3459497,1.23,11.6,5493.75,5420.55,18319.74,YES
5/31/2011,RELIANCE,945.45,945,953,934.25,938.85,942.7,1729109,-0.7,-6.6,5492,5426.55,18266.61,NO
